rep,id,logV,logVm,logKm
1,1,4.24741237299989,7.05947930700906,5.62348112654891
2,1,4.17951442862197,6.92963495523263,5.54431949452046
3,1,4.17131297157712,7.08908630987261,5.82721686993291
4,1,4.18084729527695,6.77759297648603,5.1770613004188
5,1,4.14968852641431,7.02290937202454,5.64399708971295
1,2,4.01019432048014,6.61829824405442,5.87229256565461
2,2,4.07165401637765,6.52693820428231,5.62545786588569
3,2,4.06905000546563,6.90598408038307,6.2853108329452
4,2,4.059741942604,6.68715645892953,5.95543852556387
5,2,4.06185818658706,6.55714482657183,5.07015040884219
1,3,4.07426914868621,7.1402738929479,5.52722974184849
2,3,4.06958667787813,7.2354129919499,5.57751667825376
3,3,4.07186107529455,7.16675717806711,5.54328620943686
4,3,4.06049763427669,7.09795356147561,5.48590648978948
5,3,3.9168716181085,7.08351486126193,5.57786497625367
1,4,4.82402624038945,7.11226495368395,5.57924735844842
2,4,4.82411419544628,7.30981446250594,5.8093600161785
3,4,4.71722601054051,7.25284004596513,5.66761099332064
4,4,4.91982879500345,7.06118521454362,5.90667680731847
5,4,4.75888295715038,7.09920255667491,5.86496026666537
1,5,4.35175300447205,7.05791371888627,5.25335247653914
2,5,4.38559686304246,7.10505703350476,5.30692402566647
3,5,4.389958286079,7.12415789668225,5.27203974104914
4,5,4.39439483517444,7.29650773606051,5.59022960805528
5,5,4.35697760179936,7.24944949317694,5.4773214287943
1,6,3.87070271116083,6.44741890547098,5.96735089511754
2,6,3.80184417088916,6.76439438185428,5.72619173274536
3,6,3.71760495777561,6.70936381902167,5.99213154487993
4,6,3.76449191154726,6.62572031402588,5.53847060049334
5,6,3.74746909963603,6.80338425968211,5.51084409126757
1,7,4.2289922678499,6.9564911821612,5.34252250406573
2,7,4.2900296847026,6.9855828115341,5.43125628804571
3,7,4.27137898191447,7.12808797853338,5.82100320563252
4,7,4.17300733483424,7.0945069108954,5.71131859219845
5,7,4.26912913083583,6.98057770841386,5.85776614386881
1,8,4.35618577673585,6.60468583566736,5.46992290896518
2,8,4.33373304617652,6.72663021476169,5.5514346764199
3,8,4.29112741308292,6.76526061503,5.70885719625778
4,8,4.38148623811903,6.65458243442875,5.69494242119662
5,8,4.34528816633199,6.61038631125286,5.53741067600231
1,9,4.18248554250175,6.95222268786985,5.72294294127862
2,9,4.02870052049661,6.77696085421054,5.68903034511602
3,9,4.09427028182657,6.92636296581055,5.73993202840423
4,9,3.98272218837012,7.07407650226726,6.02994393745084
5,9,4.00073411448991,7.23845558009958,6.1602230354689
1,10,4.9436207394168,7.08426345548917,6.04092186564701
2,10,4.93137352102941,6.76761350418619,5.65180559950807
3,10,4.89472228254525,6.93467073713803,5.99680156306515
4,10,4.89420107424709,6.53000517284143,5.40698116690986
5,10,4.76312752587286,6.75897215765068,5.72580412938043
1,11,4.6394277689324,6.6965059606125,5.64042316590629
2,11,4.74848758245238,6.98075563571372,5.73006377682891
3,11,4.62074838454836,6.97951192294088,5.51807730492998
4,11,4.66828304906047,6.93475915517255,5.44024010536299
5,11,4.71909370096453,6.89835262235399,5.65770877613534
1,12,4.5526324269241,7.12852552241034,5.72338766516752
2,12,4.47676985564767,7.30890667141957,5.6903729273541
3,12,4.40886296714757,6.98868981844604,5.54869801711942
4,12,4.48838252299126,6.78848170107739,5.04681475292552
5,12,4.45978482987872,7.06904861201264,5.96188804908299
1,13,3.89573227018516,6.85105588755397,5.55387236502552
2,13,3.91067837825599,6.83637595936202,5.39605274343796
3,13,3.85118661084504,7.03557056553147,5.87856670845347
4,13,3.92403506535251,6.77039138971502,5.49992260606308
5,13,3.83630642864407,7.13453599245398,6.10892224533703
1,14,4.13504751448527,6.88037208361481,5.62588529177627
2,14,4.04068146139545,7.02436830072067,5.3737857129907
3,14,4.05709802373153,6.98073469347491,5.56678557724979
4,14,4.06730756099412,6.88734818656193,5.377977732475
5,14,4.09106811676699,6.8677111335371,5.57605663213401
1,15,4.38982282307229,6.69958498742494,6.12297483779884
2,15,4.34818176958909,6.50177085902556,5.68447037968035
3,15,4.31008827537628,6.85670348770339,6.16097892475776
4,15,4.31901182898467,6.80790275138694,6.13145857433544
5,15,4.24712617123192,6.54907652784718,5.89861491057191
