id,importanceSampling
1,213.375
2,147.023
3,154.012
4,243.191
5,192.480
6,181.601
7,237.178
8,167.182
9,250.079
10,200.484
11,135.264
12,199.207
13,233.106
14,208.667
15,179.703
16,165.333
17,146.488
18,221.719
19,233.583
20,218.073
21,178.894
22,147.517
23,208.777
24,255.459
25,188.893
26,224.125
27,202.299
28,130.767
29,188.757
30,210.713
31,242.605
32,153.816
33,185.721
34,153.227
35,154.756
36,220.367
37,219.436
38,186.808
39,252.012
40,202.589
41,223.321
42,206.681
43,155.247
44,253.907
45,181.493
46,204.004
47,132.994
48,172.519
49,177.092
50,174.642
51,245.911
52,195.943
53,212.403
54,146.374
55,158.115
56,235.115
57,213.796
58,210.474
59,213.140
60,212.972
61,226.632
62,173.888
63,155.314
64,139.046
65,228.348
66,218.444
67,249.942
68,214.239
69,140.749
70,191.546
71,116.831
72,190.763
73,206.831
74,256.058
75,195.010
76,208.296
77,260.698
78,154.956
79,190.206
80,162.614
81,222.243
82,246.974
83,186.076
84,239.447
85,202.655
86,145.508
87,155.904
88,193.212
89,230.722
90,169.459
91,217.869
92,143.468
93,230.609
94,202.647
95,161.185
96,195.811
97,225.219
98,225.043
99,186.519
100,232.702
101,190.029
102,210.521
103,164.796
104,163.424
105,200.536
106,244.373
107,196.250
108,179.298
109,150.839
110,148.916
111,226.095
112,228.864
113,232.971
114,213.997
115,191.562
116,215.722
117,146.299
118,242.614
119,134.657
120,202.491
