id,eta_logka_SAEM,eta_logV_SAEM,eta_logCl_SAEM,eta_logka_mean,eta_logV_mean,eta_logCl_mean,eta_logka_mode,eta_logV_mode,eta_logCl_mode,eta_logka_sd,eta_logV_sd,eta_logCl_sd
1,0.121662,0.163797,0.104014,0.115918,0.166112,0.105566,0.109265,0.165592,0.107605,0.120363,0.045495,0.0290883
2,0.164849,-0.517406,0.257603,0.172079,-0.506991,0.263246,0.165983,-0.507897,0.264493,0.0904814,0.0431163,0.0308028
3,-0.0343546,0.0311009,-0.381691,-0.0407852,0.0320593,-0.383189,-0.0381644,0.0348094,-0.377643,0.121619,0.0508564,0.0263751
4,0.123444,0.68807,-0.207158,0.205686,0.708681,-0.204579,0.169373,0.704783,-0.198483,0.139533,0.0585234,0.0277848
5,-0.633961,-0.0599587,0.454742,-0.643402,-0.0687898,0.448178,-0.642666,-0.0664125,0.451423,0.0860947,0.0364632,0.0262901
6,0.0830902,0.101638,-0.00338759,0.0888353,0.106702,-0.00229794,0.0863244,0.110701,0.00313451,0.125831,0.0465097,0.0275226
7,-0.492985,0.371782,0.278271,-0.474505,0.38096,0.280745,-0.48025,0.381131,0.281834,0.108659,0.0531199,0.0302963
8,-0.0250228,-0.142076,0.438843,-0.0249049,-0.136725,0.443234,-0.043679,-0.145537,0.437348,0.104914,0.0425393,0.0308644
9,-0.294775,-0.127214,-0.172075,-0.314118,-0.14708,-0.182924,-0.326942,-0.147722,-0.181184,0.101829,0.0436357,0.025067
10,0.323514,0.00104536,-0.376703,0.315421,-0.00085405,-0.37688,0.30491,0.00128229,-0.37445,0.129636,0.0475206,0.0270401
11,0.571355,-0.336683,0.45757,0.540875,-0.342511,0.45552,0.551996,-0.335804,0.461251,0.102807,0.0385446,0.0286184
12,-0.0441289,-0.619763,0.130875,-0.0268359,-0.613518,0.133281,-0.0305514,-0.614368,0.133272,0.0891776,0.0302846,0.0238188
13,-0.482793,0.169493,0.00895198,-0.470721,0.182591,0.0131263,-0.484196,0.176321,0.0127908,0.106085,0.0498112,0.0287307
14,-0.116786,0.195543,-0.0516604,-0.113116,0.201747,-0.0439379,-0.14496,0.188543,-0.0492906,0.119625,0.0492709,0.0271291
15,-0.227537,0.0032321,0.00833138,-0.180208,0.0313784,0.0224011,-0.217112,0.0136874,0.0159732,0.1097,0.0528222,0.0303292
16,-0.205323,0.00481747,-0.119248,-0.167691,0.0375487,-0.105443,-0.194993,0.0343722,-0.102135,0.119743,0.0516279,0.0308851
17,-0.157963,-0.230906,-0.189946,-0.147591,-0.220469,-0.186293,-0.163675,-0.223592,-0.184787,0.100378,0.042127,0.0265855
18,-0.396845,-0.113461,-0.150474,-0.390524,-0.113717,-0.152563,-0.409325,-0.115307,-0.150996,0.122135,0.0574317,0.0323613
19,0.06943,-0.0336068,0.00325814,0.0919624,-0.021535,0.00966756,0.0773395,-0.0241931,0.0104625,0.115312,0.0454506,0.0292359
20,-0.0412081,-0.0729453,-0.14565,-0.0790533,-0.0890143,-0.150642,-0.0786136,-0.0896787,-0.149234,0.123805,0.05679,0.028638
