rep,id,eta_logka,eta_logV,eta_logVm,eta_logKm
1,1,0.346491246985001,0.265787275536505,0.552885197038754,0.21687336448098
2,1,0.556519364793006,0.34992041722683,0.336585570855574,-0.094394241428212
3,1,-0.075246705697019,0.19169828690317,0.190667214791005,-0.160252353674239
4,1,0.380131118272744,0.240740909339486,0.189276490882336,-0.213396987280864
5,1,0.16366500024748,0.236074359538425,-0.0351239940000122,-0.35539502198999
1,2,-0.231476368442156,-0.0282896547953268,0.00518742326320139,-0.196343910794391
2,2,-0.142812453547724,0.0702580677072025,0.154810645400091,-0.0562842013130254
3,2,-0.271151422765763,-0.105275718806345,0.0899767164548314,-0.0348753145139976
4,2,-0.017888913263088,-0.0392464408561986,-0.267676750975706,-0.672853219845571
5,2,0.101426368490779,0.146987863807758,-0.266311072928976,-0.720967635828187
1,3,0.0259866592745864,-0.316622694644141,-0.269448464434561,-0.0401006188017603
2,3,0.0709113010810216,-0.296465461836517,-0.146763180151391,-0.213038222495201
3,3,0.28772875303102,-0.319791349779713,-0.0881641809680474,0.321669204576368
4,3,-0.0134300754365084,-0.334109392958363,-0.140529568657244,-0.279635440783899
5,3,0.358778757521004,-0.325981638377812,-0.0497656145330725,0.389828819260353
1,4,-0.202664839488529,-0.324694984683529,-0.0653067785238969,-0.599151234878427
2,4,0.0920465494285129,-0.305987358779553,-0.0319857441236394,-0.624589069069316
3,4,0.0627658957406548,-0.195958026355296,0.0149425004911214,0.0756376213065171
4,4,0.0417480401730924,-0.246697143300299,0.0472064539388799,-0.355197882394863
5,4,0.101498076285633,-0.178111968371738,0.0909020367298121,0.333285273862414
1,5,-0.394512941582707,0.493968759182588,0.354806305208903,-0.043609790068441
2,5,-0.386248977129051,0.412866281869337,0.361712074762698,0.0672712884094587
3,5,-0.490893241266834,0.360973485609705,0.172735937277534,-0.167797742823225
4,5,-0.309023374854466,0.382412129523421,0.125668583919499,-0.233569892724236
5,5,-0.493513210241724,0.286659171829386,0.10419069679992,-0.159411721010694
1,6,0.0419421889102548,-0.164030031330047,-0.247171083770617,0.044474649431246
2,6,0.00890365411129035,-0.265800333391534,-0.102263559686323,0.323730428546251
3,6,0.0322674173054804,-0.169045161684775,-0.357644600006832,-0.0784989039243248
4,6,0.0641683357216752,-0.0176272747429155,-0.333989963640253,-0.125755095321747
5,6,0.0155783543731013,-0.134487367154797,-0.385659120742624,-0.0736536681158953
1,7,0.13967760123113,-0.332644136987296,-0.0266253156425803,-0.17395340025764
2,7,0.113679310110828,-0.410313045819456,-0.0101888185795659,-0.0923758327689154
3,7,0.20554718847285,-0.361650221300053,0.0885389310510558,0.127418102250041
4,7,0.338297336894935,-0.369410700753567,0.122191501870632,0.147704812199328
5,7,0.313572278920992,-0.301306177124671,0.177099747932316,0.246422780252674
1,8,0.285229238242515,-0.0244621500423142,-0.0833227656383224,0.171096742227772
2,8,0.106043710068236,0.0134912707094754,0.0869248753598129,0.191631523599292
3,8,0.234444259576278,-0.024209132240542,-0.356560121281983,-0.474911462964658
4,8,0.0479747986778814,-0.0742639879932533,-0.31613261325296,-0.555039773483907
5,8,0.276056067881858,-0.00223901231271702,-0.154989627438523,0.0631147136927024
1,9,-0.0425387373366702,0.273697446343556,-0.0280755550226119,-0.443695300560706
2,9,-0.129766766745114,0.352684247577516,0.330118730710909,0.0112925052578682
3,9,-0.349925919007101,0.166078973481323,0.170197095383198,-0.176936131144447
4,9,-0.395067818909281,0.210898852422107,-0.0206964139572979,-0.433816086420825
5,9,-0.271057848044145,0.211966960370995,-0.0220227508732301,-0.428574135468591
1,10,0.233909306592811,-0.197722265637617,0.157704473927842,0.408386908070251
2,10,0.202041676437191,-0.1861453268641,-0.0678554184117795,0.080787973701644
3,10,0.108334755146697,-0.253210957089056,-0.248884116505988,-0.239664352704654
4,10,-0.00606302124444286,-0.414150270719697,-0.0704799097980113,0.11470683450045
5,10,0.0770769393480962,-0.42758362605872,-0.276586753125003,-0.131998450303374
1,11,0.0425664871698055,0.364408735173211,0.121034940877092,0.0744020733863319
2,11,0.206026416318032,0.428956885696823,0.0636956268855602,0.505034756267703
3,11,0.516831173230558,0.481735364533162,0.0812238153095071,0.702445433858993
4,11,0.620044335910345,0.467023656488506,-0.18402439695541,-0.355509775884376
5,11,0.337742589257971,0.382058409371464,0.0702230469774948,0.344380561821272
1,12,0.0397197923807141,-0.331460497761223,0.397814754408752,0.135280263503063
2,12,0.193887100676966,-0.325021805395164,0.294410870315593,0.010848671412805
3,12,-0.0455669275515419,-0.339056016428307,0.382890352488214,0.0764053481643676
4,12,0.0986664818573449,-0.303073739732463,0.326881162670116,-0.042763755249747
5,12,0.0976863093225581,-0.327768488288728,0.524433502717437,0.300966512303643
1,13,0.154716532555813,-0.485524089785386,-0.77112849842953,0.341212744686685
2,13,-0.201200566837303,-0.577050301258077,-0.819284054614703,-0.273015095137827
3,13,0.0118908330931761,-0.556430645202729,-0.589932600175188,0.423093650576733
4,13,0.0796523439902252,-0.613980092720358,-0.528541672607966,0.304021812795617
5,13,-0.0561613031466926,-0.56891782163206,-0.644573646263518,-0.24406061704653
1,14,-0.382387255850603,0.354664293755121,0.515206268162635,-0.275096709168603
2,14,-0.463003963896039,0.254092169167646,0.258719873670455,-0.527093473703222
3,14,-0.463878656292077,0.31260520108154,0.270672388805474,-0.543331245209542
4,14,-0.33952518189517,0.360457743032283,0.322559221659209,-0.488658435722209
5,14,-0.638001873172703,0.338282472638866,0.108158384384046,-0.757196989919511
1,15,0.118942734011587,-0.168435666249976,-0.238670121579831,0.26786467780242
2,15,0.0354703092019401,-0.0871107610958795,-0.219796559673155,0.25568570710029
3,15,0.152831736077483,-0.0525791473830391,-0.166682687404582,0.16488801143596
4,15,0.118861482794531,-0.105598351222646,-0.0952526487432258,0.39030436792215
5,15,0.191541895072138,-0.0532739156139671,-0.327896126208979,-0.210119059088562
1,16,-0.141546879106714,0.316232799064265,0.401445908963237,0.141132198911745
2,16,-0.134305808695186,0.349001884224935,0.210884868368499,0.0329303960054842
3,16,-0.160315432493647,0.296723974524809,0.183937736102969,-0.0665212399370794
4,16,-0.196063432334226,0.260930933427427,0.0485719895041611,-0.112709399003384
5,16,-0.0272092239012987,0.373820987185954,0.292223513328727,0.141598314891588
1,17,0.0193758653288274,0.258479383110771,-0.0716969172028537,0.0767358343283631
2,17,-0.0468860354120563,0.353375493646029,-0.424129200455369,0.325402740554964
3,17,0.0789668178771725,0.387102911880433,-0.322392967858234,-0.151862017021515
4,17,-0.214165487605409,0.26875965296072,-0.0328265928160476,0.451127183292631
5,17,0.00837685452305685,0.349197648489473,-0.313922167623272,-0.0686291766455162
1,18,0.106365202363751,0.0443805154032684,0.195249884101124,-0.674851120436858
2,18,0.11486774867874,-0.0691781385506074,0.211682967233842,-0.569699243192917
3,18,-0.143843939610249,-0.0526276220525587,0.120922391456429,-0.688368559740931
4,18,-0.00722738157364651,-0.0797284854340167,0.152208164798799,-0.625415333320728
5,18,0.282859105284827,0.0402562999920959,0.177257526277731,-0.690518070554389
1,19,0.0557085985144536,0.0120924791098662,0.0174478324097125,0.0068652454519457
2,19,0.117406778383589,0.0362325821021201,-0.181426955929049,-0.351849918605083
3,19,-0.0627235042158827,0.0354875532819995,-0.156322201944939,-0.29305518942614
4,19,-0.00698137635949462,-0.0129654972242036,-0.229876890734858,-0.38463716082827
5,19,0.240823662374429,0.057134685121903,-0.117905249540918,-0.0636099536911311
1,20,0.516286752514927,0.191007720650447,0.359355163624783,0.12017779287844
2,20,0.756666640533268,0.161470990590499,0.407208634242756,0.231270205324072
3,20,0.332811530348205,0.149075571494108,0.296020959796238,-0.215011039859772
4,20,0.909583315575523,0.0671957667637302,0.406954067941195,-0.0754723480641814
5,20,0.613632048995619,0.162002434866395,0.470001510314353,0.235773405126375
1,21,-0.647235506111212,0.465739855293065,0.291856632812251,-0.220965177383943
2,21,-0.404449348170011,0.569933207091482,0.217537635588975,-0.406793664440286
3,21,-0.470327686297766,0.526140384920134,0.446126999167696,-0.108673127552532
