id,eta_logka_SAEM,eta_logV_SAEM,eta_logVm_SAEM,eta_logKm_SAEM,eta_logka_mean,eta_logV_mean,eta_logVm_mean,eta_logKm_mean,eta_logka_mode,eta_logV_mode,eta_logVm_mode,eta_logKm_mode,eta_logka_sd,eta_logV_sd,eta_logVm_sd,eta_logKm_sd
1,-0.245014,0.0207005,0.399212,-0.119057,-0.262233,0.0353577,0.398066,-0.139744,-0.249851,0.0551819,0.215687,-0.369479,0.188219,0.0722296,0.242426,0.315747
2,0.173724,0.0964544,-0.28205,-1.12357,0.251804,0.0941672,-0.208831,-0.920732,0.187483,0.0900756,-0.231446,-0.965169,0.257245,0.0603718,0.112216,0.29604
3,-0.257147,-0.519766,-0.198675,0.319408,-0.224031,-0.536071,-0.151486,0.238545,-0.274815,-0.537481,-0.168397,0.0828378,0.328216,0.084392,0.199429,0.775846
4,0.25919,-0.150822,-0.166162,0.0616345,0.250201,-0.164804,-0.103691,0.212787,0.345706,-0.175783,-0.066398,0.12314,0.408594,0.0845375,0.196103,0.594623
5,-0.018516,0.609873,0.504273,-0.23886,0.0185636,0.633009,0.204113,-0.625628,0.0180947,0.62878,0.207234,-0.617049,0.239233,0.0667998,0.135609,0.17233
6,0.068989,-0.0672095,-0.0922327,0.307373,0.108749,-0.0695703,-0.0476339,0.403248,0.0491154,-0.0819445,-0.101538,0.296218,0.330996,0.0712044,0.144559,0.269759
7,0.496057,-0.26738,0.00102908,0.0100873,0.565763,-0.232866,0.0527341,0.252043,0.494114,-0.299098,0.0327064,0.0299214,0.327804,0.0821235,0.130993,0.432516
8,0.14279,0.0659486,-0.222906,0.404002,0.0951717,0.101905,-0.307833,0.391456,0.137024,0.0647858,-0.22881,0.382384,0.32317,0.0854933,0.156867,0.478192
9,-0.0968975,0.174832,0.0800993,-0.565349,-0.112536,0.176295,0.075103,-0.571244,-0.114337,0.170236,0.0703047,-0.567182,0.22017,0.0577537,0.141019,0.28389
10,0.140208,-0.346212,-0.148399,-0.118293,0.217425,-0.34102,-0.212395,-0.294145,0.127909,-0.35333,-0.179476,-0.206646,0.262756,0.0644886,0.0961963,0.261005
11,-0.00265012,0.208786,-0.00990784,0.184763,-0.0114675,0.230695,-0.0494825,0.209815,-0.0701204,0.180212,0.0678147,0.155955,0.359356,0.074876,0.18901,0.612511
12,0.0496052,-0.246468,0.0695171,-0.130283,0.0981181,-0.206624,0.113694,0.134344,0.087363,-0.261506,0.059302,-0.193096,0.329027,0.0968272,0.0998671,0.394884
13,-0.302529,-0.740348,-0.144626,0.439258,-0.209996,-0.687059,-0.219821,0.821867,-0.262194,-0.702045,-0.180729,0.676504,0.376984,0.0778371,0.213722,0.623573
14,-0.62398,0.158427,0.537046,-0.505577,-0.582586,0.172717,0.415023,-0.659971,-0.467038,0.283633,0.10935,-1.10483,0.173829,0.0648934,0.133518,0.178848
15,-0.102487,-0.240629,-0.210779,0.242847,-0.0873028,-0.273501,-0.135923,0.338666,-0.0992756,-0.289617,-0.118051,0.325707,0.293363,0.105254,0.155847,0.529491
16,-0.125252,0.442509,0.207103,-0.487278,-0.113793,0.430895,0.204144,-0.488641,-0.0992446,0.451268,0.153955,-0.563152,0.25503,0.0691141,0.123908,0.175128
17,-0.347755,0.0828478,0.0648965,0.235354,-0.333808,0.122581,-0.0916888,-0.0175872,-0.365565,0.111003,0.00747758,0.168119,0.365488,0.112249,0.24153,0.639299
18,0.0555863,-0.205205,0.158758,-0.90471,0.0847775,-0.209321,0.189717,-0.856642,0.0802976,-0.190272,0.148438,-0.940119,0.165165,0.0765411,0.0842673,0.188633
19,0.312442,-0.0299733,-0.0376282,-0.417976,0.29661,-0.0317745,0.102178,-0.119096,0.272883,-0.0435475,0.0590927,-0.183365,0.327979,0.0553632,0.186006,0.348167
