parameter,value,se_sa,rse_sa
logV1_pop,4.25614088445761,0.0277269130084757,0.651456654306901
logQ_pop,1.32979246352603,0.0494836873984666,3.72115865864192
logV2_pop,3.93631605863358,0.0380402335488902,0.966391747569558
logVm_pop,6.91364849355458,0.0352669898259928,0.510106781663421
logKm_pop,5.50860334936076,0.0472992438048752,0.858643122496085
omega_logV1,0.295562286946172,0.0195835020680868,6.62584603415705
omega_logQ,0.291316424286123,0.0491955086488282,16.8873103428283
omega_logV2,0.327387741621981,0.0326498187768598,9.97282873668464
omega_logVm,0.32141906421791,0.0267865046075877,8.33382570905236
omega_logKm,0.36275481095205,0.0407776517376714,11.2411057018515
b,0.200044403038955,0.00181413941551863,0.906868369201689
