id,eta_logka_SAEM,eta_logV1_SAEM,eta_logQ_SAEM,eta_logV2_SAEM,eta_logVm_SAEM,eta_logKm_SAEM,eta_logka_mean,eta_logV1_mean,eta_logQ_mean,eta_logV2_mean,eta_logVm_mean,eta_logKm_mean,eta_logka_mode,eta_logV1_mode,eta_logQ_mode,eta_logV2_mode,eta_logVm_mode,eta_logKm_mode,eta_logka_sd,eta_logV1_sd,eta_logQ_sd,eta_logV2_sd,eta_logVm_sd,eta_logKm_sd
1,-0.0055629,0.453729,0.295675,-0.0461854,-0.397312,0.00602689,0.0398321,0.477305,0.214884,-0.101082,-0.420166,-0.0458332,-0.0246703,0.445767,0.340938,-0.100107,-0.358611,-0.00386838,0.17746,0.10152,0.436709,0.226075,0.122275,0.214256
2,-0.0562626,-0.170906,0.331649,0.275992,0.153999,0.174726,0.0121583,-0.122949,0.278358,0.242455,0.192719,0.217146,0.0118295,-0.114477,0.296281,0.245976,0.109514,0.101692,0.160009,0.108407,0.240558,0.13837,0.116566,0.160837
3,-0.225255,-0.249036,-0.0666722,0.0111386,0.149582,0.0181977,-0.162158,-0.215014,-0.192023,0.075799,0.0631724,-0.0148749,-0.168339,-0.209213,-0.18766,0.0734451,0.0717836,-0.0663489,0.17331,0.112519,0.255545,0.166609,0.141098,0.240902
4,-0.106359,0.323057,0.149727,0.00725324,-0.424825,-0.233724,-0.161134,0.300615,0.153978,0.0694959,-0.347694,-0.0585553,-0.162658,0.308077,0.116428,0.0315439,-0.393059,-0.199335,0.165568,0.100279,0.362016,0.195965,0.118816,0.224225
5,-0.0103568,-0.0748971,-0.0454713,0.0366344,0.120145,-0.137328,0.0127695,-0.0491415,-0.0786982,-0.0674969,0.194269,-0.0138242,-0.0380156,-0.0733417,-0.0444517,-0.0152908,0.176427,-0.0979108,0.15967,0.0968113,0.379569,0.203165,0.13906,0.260423
6,-0.00565549,0.286821,-0.16997,0.032534,0.287554,-0.276519,0.0752706,0.324175,-0.175428,-0.0589159,0.291716,-0.271165,0.0323218,0.315354,-0.228931,-0.0709044,0.287283,-0.321241,0.17389,0.0965763,0.475276,0.233384,0.086028,0.155421
7,0.0467965,-0.201796,0.116211,-0.231264,0.0103811,-0.0494397,0.0674284,-0.183863,-0.00862942,-0.209478,-0.0162145,-0.0821269,0.0125503,-0.217384,0.200262,-0.261455,0.0371604,-0.0652755,0.158579,0.112188,0.453314,0.181451,0.112188,0.259885
8,-0.0344827,0.137765,0.405957,0.213051,0.0108271,-0.123482,0.00562052,0.164588,0.27254,0.173094,0.13746,0.0528563,-0.0278253,0.15331,0.370366,0.174928,0.0618508,-0.0624207,0.138781,0.094865,0.317707,0.173342,0.118123,0.162939
9,0.405798,0.319201,0.0885266,0.0206494,0.132625,-0.0452619,0.392842,0.30043,0.105861,0.0194782,0.129285,-0.0632646,0.365008,0.303744,0.10401,0.0174174,0.118425,-0.0942626,0.188099,0.097659,0.367423,0.201734,0.0817445,0.139793
10,0.195476,-0.289171,0.146833,-0.271146,0.220684,-0.164074,0.140602,-0.320749,0.15027,-0.246403,0.195441,-0.195773,0.187203,-0.281934,0.125807,-0.275771,0.217725,-0.174425,0.165113,0.102293,0.270958,0.131132,0.103255,0.14124
11,-0.0796582,0.0937704,0.109597,-0.115931,-0.0390346,0.0445179,-0.0823358,0.108987,-0.0063646,-0.0490452,-0.091799,0.0183491,-0.0860228,0.111066,0.0457477,-0.163447,-0.0235247,0.0361799,0.191677,0.135091,0.431574,0.181707,0.123138,0.209545
12,0.314306,0.171956,0.246978,0.122599,0.0346157,0.13692,0.276012,0.156092,0.277612,0.242201,-0.0610448,0.00234478,0.247404,0.138616,0.348331,0.162955,0.0383101,0.0851697,0.151909,0.0982199,0.329953,0.172541,0.12755,0.221089
13,-0.150569,0.321442,0.249619,0.112755,0.204358,0.165089,-0.062404,0.373232,0.144495,0.0935341,0.109001,0.0350456,-0.0804755,0.369318,0.191792,0.0706161,0.158796,0.0886665,0.120672,0.079353,0.298475,0.1624,0.129777,0.174853
