RUN,VAR,VAL,SE,
runSODE001,logV_pop,4.201584741,0.028508895,
runSODE001,logCl_pop,1.359844947,0.025144948,
runSODE001,omega_logV,0.307394168,0.021134033,
runSODE001,omega_logCl,0.271668265,0.018297583,
runSODE001,RSV,0.197471524,0.003164214,
runSODE001,RunTime,89.93,NA,
runSODE002,logV_pop,4.197444307,0.029318056,
runSODE002,logCl_pop,1.357624114,0.024874667,
runSODE002,omega_logV,0.316869945,0.021603211,
runSODE002,omega_logCl,0.270627348,0.017679337,
runSODE002,RSV,0.204148408,0.002234543,
runSODE002,RunTime,112.55,NA,
runSODE004,logV_pop,4.202237666,0.028775959,
runSODE004,logCl_pop,1.361158146,0.024890734,
runSODE004,omega_logV,0.312893331,0.020869811,
runSODE004,omega_logCl,0.271397169,0.017938629,
runSODE004,RSV,0.202606441,0.001814109,
runSODE004,RunTime,141.44,NA,
runSODE009,logV_pop,4.177651776,0.027694912,
runSODE009,logVm_pop,6.894932376,0.03273475,
runSODE009,logKm_pop,5.533194712,0.046848192,
runSODE009,omega_logV,0.298938953,0.019875675,
runSODE009,omega_logVm,0.299712834,0.026132904,
runSODE009,omega_logKm,0.339538339,0.035628753,
runSODE009,RSV,0.198421718,0.003191424,
runSODE009,RunTime,71.26,NA,
runSODE010,logV_pop,4.136105672,0.02950017,
runSODE010,logVm_pop,7.090882785,0.027206731,
runSODE010,logKm_pop,6.092310004,0.068907797,
runSODE010,omega_logV,0.314244452,0.021044226,
runSODE010,omega_logVm,0.234686784,0.022200682,
runSODE010,omega_logKm,0.49013183,0.04735117,
runSODE010,RSV,0.203382731,0.002236806,
runSODE010,RunTime,147.78,NA,
runSODE011,logV_pop,4.179682571,0.027595482,
runSODE011,logVm_pop,6.912629061,0.028383007,
runSODE011,logKm_pop,5.564221248,0.037159614,
runSODE011,omega_logV,0.299502567,0.019669715,
runSODE011,omega_logVm,0.293974297,0.022027291,
runSODE011,omega_logKm,0.322941323,0.029342494,
runSODE011,RSV,0.200942151,0.001800831,
runSODE011,RunTime,184.64,NA,
runSODE012,logV_pop,4.264606502,0.028820346,
runSODE012,logCl_pop,1.384919317,0.025944277,
runSODE012,omega_logV,0.310611969,0.02073845,
runSODE012,omega_logCl,0.280035538,0.018377088,
runSODE012,RSV,0.19980488,0.00321164,
runSODE012,RunTime,56.54,NA,
runSODE013,logV_pop,4.266765018,0.027863259,
runSODE013,logCl_pop,1.383883039,0.025903595,
runSODE013,omega_logV,0.300485211,0.02006179,
runSODE013,omega_logCl,0.281938376,0.018378553,
runSODE013,RSV,0.199853133,0.002184771,
runSODE013,RunTime,147.97,NA,
runSODE015,logV_pop,4.270327728,0.028374371,
runSODE015,logCl_pop,1.386964876,0.025832303,
runSODE015,omega_logV,0.308561063,0.020412985,
runSODE015,omega_logCl,0.28186503,0.01825129,
runSODE015,RSV,0.200163329,0.001778866,
runSODE015,RunTime,186.99,NA,
runSODE020,logV_pop,4.254292793,0.028252126,
runSODE020,logVm_pop,6.968702917,0.032906671,
runSODE020,logKm_pop,5.615125204,0.052361521,
runSODE020,omega_logV,0.305090084,0.020280751,
runSODE020,omega_logVm,0.294303767,0.027024641,
runSODE020,omega_logKm,0.289174116,0.039317683,
runSODE020,RSV,0.200374302,0.00321775,
runSODE020,RunTime,81.66,NA,
runSODE021,logV_pop,4.185761101,0.027903508,
runSODE021,logVm_pop,7.160450594,0.029616185,
runSODE021,logKm_pop,6.272845956,0.103759163,
runSODE021,omega_logV,0.291616004,0.020214867,
runSODE021,omega_logVm,0.224008688,0.0223484,
runSODE021,omega_logKm,0.74770861,0.089071663,
runSODE021,RSV,0.209298705,0.002313241,
runSODE021,RunTime,206.72,NA,
runSODE022,logV_pop,4.255711929,0.027694282,
runSODE022,logVm_pop,6.904701729,0.027384732,
runSODE022,logKm_pop,5.493449375,0.034965674,
runSODE022,omega_logV,0.300560831,0.019628908,
runSODE022,omega_logVm,0.275541977,0.022211978,
runSODE022,omega_logKm,0.279129336,0.029836091,
runSODE022,RSV,0.203844204,0.001831336,
runSODE022,RunTime,247.79,NA,
runSODE023,logka_pop,-0.008002665,0.033177722,
runSODE023,logV_pop,4.191331985,0.025706871,
runSODE023,logCl_pop,1.383214724,0.023786581,
runSODE023,omega_logka,0.330697556,0.02659046,
runSODE023,omega_logV,0.273356594,0.018752193,
runSODE023,omega_logCl,0.255833233,0.017287117,
runSODE023,RSV,0.198210873,0.003251948,
runSODE023,RunTime,117.18,NA,
runSODE024,logka_pop,0.004842069,0.038563319,
runSODE024,logV_pop,4.208253459,0.02647168,
runSODE024,logCl_pop,1.389471051,0.024542039,
runSODE024,omega_logka,0.37075231,0.030329713,
runSODE024,omega_logV,0.283211232,0.019286907,
