"model","problem","subproblem","covariance_step_run","minimization_successful","covariance_step_successful","covariance_step_warnings","estimate_near_boundary","rounding_errors","zero_gradients","final_zero_gradients","hessian_reset","s_matrix_singular","significant_digits","condition_number","est_methods","model_run_time","subprob_est_time","subprob_cov_time","ofv","CL","V","Ka","RSV","OMEGA(1,1)","OMEGA(2,2)","OMEGA(3,3)","SIGMA(1,1)","seCL","seV","seKa","seRSV","seOMEGA(1,1)","seOMEGA(2,2)","seOMEGA(3,3)","seSIGMA(1,1)","shrinkage_eta1(%)","shrinkage_eta2(%)","shrinkage_eta3(%)","shrinkage_iwres(%)","EI1","EI2","EI3","EI4","EI5","EI6","EI7","EI8"
0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,1,1,1,1,1,0,0,0,0,0,0,0,2.1,NA,FOCE_I,0:02:00,71.03,12.97,4606.7761093043,1.4291,4.27375,0.117006,0.195794,0.102458,0.09918,0.0860851,1,0.0344317,0.0375324,0.104346,0.00851936,0.0181483,0.0226091,0.0750126,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,1,1,1,1,1,0,0,0,0,0,0,0,2.6,NA,FOCE_I,0:01:00,27.93,9.72,4655.31093631975,1.41469,4.22616,-0.116298,0.191839,0.0716204,0.111976,0.106363,1,0.0290832,0.037496,0.092632,0.00777256,0.013297,0.0189519,0.073893,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,1,1,1,1,1,0,0,0,0,0,0,0,2.2,NA,FOCE_I,0:01:00,29.91,12.05,4675.28396608027,1.39789,4.22644,0.0138528,0.187081,0.112748,0.0941187,0.0365226,1,0.0348529,0.0348095,0.0779848,0.00939646,0.0190293,0.0176172,0.0671208,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,1,1,1,1,1,0,0,0,0,0,0,0,2.4,NA,FOCE_I,0:01:00,23.19,9.7,4639.05436094778,1.4246,4.26002,-0.117534,0.190498,0.0830684,0.112823,0.126557,1,0.0320502,0.040497,0.0892601,0.00866717,0.0165309,0.0236574,0.0660391,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,1,1,1,1,1,0,0,0,0,0,0,0,2.2,NA,FOCE_I,0:01:00,30.89,12.38,4692.3066639713,1.42421,4.19872,-0.135441,0.205194,0.10547,0.107286,0.0154022,1,0.0346447,0.0427565,0.0970214,0.0100116,0.0193259,0.0212669,0.0579273,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,1,1,1,1,1,0,0,0,0,0,0,0,2.1,NA,FOCE_I,0:01:00,23.51,10.18,4700.99779265571,1.39506,4.19559,-0.214161,0.203382,0.0844008,0.0893874,0.0406633,1,0.0338854,0.040402,0.0842111,0.0108642,0.0152672,0.0257482,0.0501712,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,1,1,1,1,1,0,0,0,0,0,0,0,2.2,NA,FOCE_I,0:01:00,21.02,9.14,4705.08973436743,1.41828,4.16357,-0.127868,0.203473,0.0643116,0.0976121,0.0333457,1,0.0285507,0.0360948,0.0893422,0.00905711,0.00941524,0.0171406,0.0286765,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,1,1,1,1,1,0,0,0,0,0,0,0,2.3,NA,FOCE_I,0:02:00,30.24,12.59,4677.5246323913,1.42325,4.223,-0.155601,0.188299,0.106643,0.108565,0.0973049,1,0.0339878,0.0368202,0.0893968,0.00860955,0.0178043,0.0190916,0.0489793,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,1,1,1,1,1,0,0,0,0,0,0,0,2.3,NA,FOCE_I,0:01:00,21.02,9.05,4671.27107225938,1.42771,4.23229,-0.173428,0.201593,0.111269,0.076611,0.0346969,1,0.0366129,0.0360489,0.0937657,0.00957777,0.0177028,0.0165842,0.063728,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
